postal_code_prefix_3,fulfillment_center,total_orders,downgraded_orders,two_day_orders,one_day_orders,other_orders,paid_shipping_orders
454,US-PA-MDT,9,9,0,0,0,0
456,US-PA-MDT,4,3,1,0,0,0
458,US-PA-MDT,3,3,0,0,0,0
460,US-PA-MDT,19,16,3,0,0,0
461,US-PA-MDT,7,7,0,0,0,0
462,US-PA-MDT,31,28,1,2,0,1
463,US-PA-MDT,10,10,0,0,0,0
464,US-PA-MDT,2,2,0,0,0,0
465,US-PA-MDT,7,7,0,0,0,0
466,US-PA-MDT,1,1,0,0,0,0
467,US-PA-MDT,3,2,1,0,0,0
468,US-PA-MDT,12,10,1,1,0,1
469,US-PA-MDT,2,2,0,0,0,0
470,US-PA-MDT,1,1,0,0,0,0
471,US-PA-MDT,14,12,1,1,0,1
472,US-PA-MDT,8,7,1,0,0,0
473,US-PA-MDT,6,4,1,1,0,1
474,US-PA-MDT,7,6,0,1,0,0
476,US-PA-MDT,4,3,0,1,0,1
477,US-PA-MDT,3,3,0,0,0,0
479,US-PA-MDT,13,9,1,3,0,2
480,US-PA-MDT,25,20,2,3,0,2
481,US-PA-MDT,47,41,4,2,0,0
482,US-PA-MDT,16,12,2,2,0,2
483,US-PA-MDT,28,24,1,3,0,0
484,US-PA-MDT,6,4,1,1,0,1
485,US-PA-MDT,1,1,0,0,0,0
486,US-PA-MDT,11,10,1,0,0,0
487,US-PA-MDT,4,4,0,0,0,0
488,US-PA-MDT,15,15,0,0,0,0
489,US-PA-MDT,5,5,0,0,0,0
490,US-PA-MDT,20,17,1,2,0,0
491,US-PA-MDT,3,3,0,0,0,0
492,US-PA-MDT,5,5,0,0,0,0
493,US-PA-MDT,12,10,2,0,0,0
494,US-PA-MDT,13,11,0,2,0,2
495,US-PA-MDT,13,11,0,2,0,2
496,US-PA-MDT,4,4,0,0,0,0
499,US-PA-MDT,2,1,0,1,0,1
500,US-PA-MDT,5,4,0,1,0,0
501,US-PA-MDT,1,1,0,0,0,0
502,US-PA-MDT,1,1,0,0,0,0
503,US-PA-MDT,11,10,0,1,0,0
504,US-PA-MDT,7,6,1,0,0,0
506,US-PA-MDT,4,4,0,0,0,1
514,US-PA-MDT,1,1,0,0,0,0
515,US-PA-MDT,4,2,2,0,0,0
520,US-PA-MDT,2,2,0,0,0,0
521,US-PA-MDT,1,1,0,0,0,0
522,US-PA-MDT,7,6,0,1,0,1
523,US-PA-MDT,3,2,0,1,0,1
524,US-PA-MDT,7,6,1,0,0,0
525,US-PA-MDT,2,2,0,0,0,0
526,US-PA-MDT,3,1,2,0,0,0
527,US-PA-MDT,4,4,0,0,0,0
528,US-PA-MDT,6,5,1,0,0,0
530,US-PA-MDT,22,19,0,3,0,1
531,US-PA-MDT,20,20,0,0,0,0
532,US-PA-MDT,25,21,2,2,0,1
534,US-PA-MDT,6,6,0,0,0,0
535,US-PA-MDT,27,21,1,5,0,2
537,US-PA-MDT,34,30,0,4,0,2
538,US-PA-MDT,2,1,1,0,0,0
540,US-PA-MDT,3,3,0,0,0,0
541,US-PA-MDT,4,4,0,0,0,0
542,US-PA-MDT,3,1,2,0,0,0
543,US-PA-MDT,3,3,0,0,0,0
544,US-PA-MDT,6,6,0,0,0,0
545,US-PA-MDT,5,4,1,0,0,0
546,US-PA-MDT,7,7,0,0,0,0
547,US-PA-MDT,4,4,0,0,0,0
548,US-PA-MDT,1,1,0,0,0,0
549,US-PA-MDT,11,11,0,0,0,0
550,US-PA-MDT,31,27,4,0,0,0
551,US-PA-MDT,36,30,4,2,0,0
553,US-PA-MDT,30,25,2,3,0,1
554,US-PA-MDT,49,38,6,5,0,2
556,US-PA-MDT,1,0,1,0,0,0
557,US-PA-MDT,3,2,1,0,0,0
558,US-PA-MDT,3,2,1,0,0,0
559,US-PA-MDT,5,4,0,1,0,0
560,US-PA-MDT,4,3,1,0,0,0
562,US-PA-MDT,1,1,0,0,0,0
563,US-PA-MDT,2,1,1,0,0,0
564,US-PA-MDT,1,1,0,0,0,0
565,US-PA-MDT,2,1,1,0,0,0
566,US-PA-MDT,3,2,0,1,0,1
570,US-PA-MDT,1,0,1,0,0,0
571,US-PA-MDT,4,3,1,0,0,0
572,US-PA-MDT,2,1,1,0,0,1
575,US-PA-MDT,1,0,1,0,0,0
581,US-PA-MDT,4,2,0,2,0,1
586,US-PA-MDT,1,0,1,0,0,0
